res_id,name,establishment,url,address,city,city_id,locality,latitude,longitude,zipcode,country_id,locality_verbose,cuisines,timings,average_cost_for_two,price_range,currency,highlights,aggregate_rating,rating_text,votes,photo_count,opentable_support,delivery,takeaway
18708350,Tibetan Cafe,['Quick Bites'],https://www.zomato.com/Chennai/tibetan-cafe-ram-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Kotwali Bazaar, Near Phawara Chowk, Ram Nagar, Chennai",Chennai,11309,Ram Nagar,32.22101829,76.31918471,,1,"Ram Nagar, Chennai",Tibetan,8:30 AM to 9:30 PM,300,1,Rs.,"['No Alcohol Available', 'Cash', 'Dinner', 'Takeaway Available', 'Lunch', 'Breakfast', 'Indoor Seating', 'Free Parking']",3.3,Average,8,6,0,1,-1
18708188,Lung Ta Restaurant,['Café'],https://www.zomato.com/Chennai/lung-ta-restaurant-mcleodganj?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Jogibara Road, Mcleodganj, Chennai",Chennai,11309,Mcleodganj,32.23558331,76.3271321,,1,"Mcleodganj, Chennai",Cafe,"12 Noon to 2:30 PM, 5:30 PM to 9:30 PM",650,2,Rs.,"['No Alcohol Available', 'Debit Card', 'Breakfast', 'Dinner', 'Takeaway Available', 'Cash', 'Credit Card', 'Lunch', 'Indoor Seating']",3.4,Average,15,8,0,-1,-1
18708207,The Chocolate Log,['Café'],https://www.zomato.com/Chennai/the-chocolate-log-mcleodganj?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Jogiwara Road, Mcleodganj, Chennai",Chennai,11309,Mcleodganj,32.23620609,76.32643037,,1,"Mcleodganj, Chennai",Cafe,9 AM to 10 PM,600,2,Rs.,"['Lunch', 'Cash', 'No Alcohol Available', 'Takeaway Available', 'Breakfast', 'Dinner', 'Indoor Seating', 'Desserts and Bakes', 'Digital Payments Accepted']",3.3,Average,20,12,0,-1,-1
18708420,City Heart Restaurant,['Casual Dining'],https://www.zomato.com/Chennai/city-heart-restaurant-ram-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Kotwali Bazaar, Near Phawara Chowk",Chennai,11309,Ram Nagar,32.22105743,76.31874919,,1,"Ram Nagar, Chennai","South Indian, Chinese, North Indian",11 AM to 11 PM,800,3,Rs.,"['Takeaway Available', 'Cash', 'Credit Card', 'Debit Card', 'Delivery', 'Above 18 Only', 'Fullbar', 'Indoor Seating', 'Air Conditioned', 'Nightlife']",3.4,Average,12,8,0,1,-1
19010416,Hot & Spicy,['Quick Bites'],https://www.zomato.com/Chennai/hot-spicy-chilgari?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Near Gurlu Nala, Teh, Chilgari, Chennai",Chennai,11309,Chilgari,32.1930514,76.3478682,,1,"Chilgari, Chennai",Chinese,11 AM to 10 PM,200,1,Rs.,"['Takeaway Available', 'Cash', 'Indoor Seating']",0,Not rated,3,0,0,-1,-1
19148797,Cafe Indique,['Café'],https://www.zomato.com/Chennai/cafe-indique-chilgari?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Norbulingka Institute, Sidhpur, Chilgari, Chennai",Chennai,11309,Chilgari,32.19731994,76.35884369,176057,1,"Chilgari, Chennai","Cafe, Sandwich, North Indian",11am – 9:30pm (Mon-Sun),1000,3,Rs.,"['Takeaway Available', 'Delivery', 'Lunch', 'Breakfast', 'Dinner', 'Cash', 'Outdoor Seating', 'Digital Payments Accepted', 'Indoor Seating']",3.2,Average,4,7,0,-1,-1
18708966,Chilly Beans Café,['Café'],https://www.zomato.com/Chennai/chilly-beans-café-mcleodganj?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Bhagsu Naag, Mcleodganj, Chennai",Chennai,11309,Mcleodganj,32.24478842,76.33282073,,1,"Mcleodganj, Chennai","Bakery, Cafe, Chinese, North Indian",8 AM to 10 PM,800,3,Rs.,"['Lunch', 'Dinner', 'Free Wifi', 'Desserts and Bakes', 'Digital Payments Accepted', 'All Day Breakfast']",3.3,Average,11,4,0,-1,-1
18661442,National Hotel,['Quick Bites'],https://www.zomato.com/goa/national-hotel-quepem?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Quepem - Curchorem Rod, Quepem, Goa",Goa,13,Quepem,15.21435673,74.07109793,,1,"Quepem, Goa",Fast Food,8 AM to 7 PM,100,1,Rs.,"['Lunch', 'Takeaway Available', 'Credit Card', 'Dinner', 'No Alcohol Available', 'Cash', 'Breakfast', 'Debit Card', 'Indoor Seating']",0,Not rated,0,0,0,-1,-1
16518065,Neon Cafe & Snacks,['Casual Dining'],https://www.zomato.com/goa/neon-cafe-snacks-bambolim?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"6, S1, Flower Cross CHS, Near Holy Cross, Bambolim, Goa",Goa,13,Bambolim,15.4519578,73.8633559,,1,"Bambolim, Goa",Fast Food,"6:30 AM to 1 PM, 2 PM to 7 PM (Mon-Sun)",100,1,Rs.,"['Breakfast', 'Dinner', 'Air Conditioned', 'Indoor Seating']",0,Not rated,0,4,0,-1,-1
18229748,Frozen Bites,['Dessert Parlour'],https://www.zomato.com/goa/frozen-bites-bicholim?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Town Center Building, Near Hotel Chandbar, Bicholim, Goa",Goa,13,Bicholim,15.60944953,73.93152718,,1,"Bicholim, Goa",Ice Cream,8:30 AM to 9 PM (Mon-Sun),100,1,Rs.,"['Desserts and Bakes', 'Indoor Seating']",0,Not rated,0,0,0,-1,-1
